"method","t_ladder","sim","iterations","m0","m4","m5","m6","m1","m2","m3"
1,"1",76,-1,26849,4478,2254,16419,0,0,0
1,"1",76,2,50587,34950,1176,13287,0,0,0
1,"1",77,-1,27144,0,0,0,5036,986,16834
1,"1",77,2,52072,36038,11890,0,0,0,0
1,"1",78,-1,28497,0,0,0,15439,1086,4978
1,"1",78,2,55692,33531,4254,6523,0,0,0
1,"1",79,-1,29310,0,0,0,10106,0,10584
1,"1",79,2,53291,0,0,0,34964,2214,9531
1,"1",80,-1,24812,0,0,0,3788,19136,2264
1,"1",80,2,54275,0,0,0,32094,28,13603
1,"1",81,-1,26570,22469,0,961,0,0,0
1,"1",81,2,49381,33463,9783,7373,0,0,0
1,"1",82,-1,26539,10262,5517,7682,0,0,0
1,"1",82,2,55453,7214,27168,10165,0,0,0
1,"1",83,-1,27323,22677,0,0,0,0,0
1,"1",83,2,54808,20785,20052,4355,0,0,0
1,"1",84,-1,27187,17224,0,5589,0,0,0
1,"1",84,2,55780,26887,0,8934,7526,873,0
1,"1",85,-1,31160,12281,5493,1066,0,0,0
1,"1",85,2,51570,0,0,0,22464,0,25966
1,"1",86,-1,25651,3313,0,439,16809,3788,0
1,"1",86,2,52058,0,0,0,0,47611,331
1,"1",87,-1,28971,0,8565,12464,0,0,0
1,"1",87,2,50362,33486,13680,2472,0,0,0
1,"1",88,-1,26048,10618,0,13334,0,0,0
1,"1",88,2,53243,32012,316,14429,0,0,0
1,"1",89,-1,28545,0,0,0,18281,0,3174
1,"1",89,2,57760,0,0,0,29314,1740,11186
1,"1",90,-1,27864,19466,0,2670,0,0,0
1,"1",90,2,54228,0,0,0,12614,7400,25758
1,"1",91,-1,29270,0,0,0,8359,5412,6959
1,"1",91,2,50104,29869,16752,3275,0,0,0
1,"1",92,-1,24944,23599,0,1457,0,0,0
1,"1",92,2,56469,31794,10026,1711,0,0,0
1,"1",93,-1,28649,11249,0,10102,0,0,0
1,"1",93,2,51775,43066,0,5159,0,0,0
1,"1",94,-1,25771,0,0,0,15903,0,8326
